network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider
2.16.22.32/28,6255148,,,0,0
2.16.22.48/29,6255148,,,0,0
2.16.22.56/30,6255148,,,0,0
2.16.22.60/31,6255148,,,0,0
2.16.22.62/31,3175395,,,0,0
2.16.22.64/28,6255148,,,0,0
2.16.22.80/29,6255148,,,0,0
2.16.22.88/30,6255148,,,0,0
2.16.22.92/31,6255148,,,0,0
2.16.22.94/31,3175395,,,0,0
2.16.22.96/27,6255148,,,0,0
2.16.22.128/26,6255148,,,0,0
2.16.22.192/31,6255148,,,0,0
2.16.22.194/32,6255148,,,0,0
2.16.22.195/32,3175395,,,0,0
2.16.22.196/32,3175395,,,0,0
2.16.22.197/32,6255148,,,0,0
2.16.22.198/31,6255148,,,0,0
2.16.22.200/29,6255148,,,0,0
2.16.22.208/29,6255148,,,0,0
2.16.22.216/31,6255148,,,0,0
2.16.22.218/31,3175395,,,0,0
2.16.22.220/32,3175395,,,0,0
2.16.22.221/32,6255148,,,0,0
2.16.22.222/31,6255148,,,0,0
2.16.22.224/32,6255148,,,0,0
2.16.22.225/32,3175395,,,0,0
2.16.22.226/31,3175395,,,0,0
2.16.22.228/32,3175395,,,0,0
2.16.22.229/32,6255148,,,0,0
2.16.22.230/31,6255148,,,0,0
2.16.22.232/32,6255148,,,0,0
2.16.22.233/32,3175395,,,0,0
2.16.22.234/31,3175395,,,0,0
2.16.22.236/32,3175395,,,0,0
2.16.22.237/32,6255148,,,0,0
2.16.22.238/31,6255148,,,0,0
2.16.22.240/32,6255148,,,0,0
2.16.22.241/32,3175395,,,0,0
2.16.22.242/31,3175395,,,0,0
2.16.22.244/32,3175395,,,0,0
2.16.22.245/32,6255148,,,0,0
2.16.22.246/31,6255148,,,0,0
2.16.22.248/32,6255148,,,0,0
2.16.22.249/32,3175395,,,0,0
2.16.22.250/31,6255148,,,0,0
2.16.22.252/30,6255148,,,0,0
2.16.23.0/24,6255148,,,0,0
2.16.24.0/21,6255148,,,0,0
2.16.32.0/24,6255148,,,0,0
2.16.33.0/26,6255148,,,0,0
2.16.33.64/29,6255148,,,0,0
2.16.33.72/30,6255148,,,0,0
2.16.33.76/32,6252001,,,0,0
2.16.33.77/32,6255148,,,0,0
2.16.33.78/31,6255148,,,0,0
2.16.33.80/28,6255148,,,0,0
2.16.33.96/27,6255148,,,0,0
2.16.33.128/25,6255148,,,0,0
2.16.34.0/23,6255148,,,0,0
2.16.36.0/24,2077456,294640,,0,0
2.16.37.0/24,2635167,294640,,0,0
2.16.38.0/23,6255148,,,0,0
2.16.40.0/21,6255148,,,0,0
2.16.48.0/30,6255148,,,0,0
2.16.48.4/30,2635167,,,0,0
2.16.48.8/30,6255148,,,0,0
2.16.48.12/30,2635167,,,0,0
2.16.48.16/30,6255148,,,0,0
2.16.48.20/30,2635167,,,0,0
2.16.48.24/30,6255148,,,0,0
